location_id,lokasyon,latitude_requested,longitude_requested,latitude_grid,longitude_grid,elevation
0,MANİSA>AHMETLİ,38.519,27.938,38.5,27.90001,86.0
1,MANİSA>AKHİSAR,38.918,27.84,38.90001,27.800003,107.0
2,MANİSA>ALAŞEHİR,38.35,28.517,38.40001,28.5,208.0
3,MANİSA>DEMİRCİ,39.046,28.659,39.0,28.699997,882.0
4,MANİSA>GÖLMARMARA,38.713,27.914,38.699997,27.90001,112.0
5,MANİSA>GÖRDES,38.932,28.29,38.90001,28.300003,674.0
6,MANİSA>KIRKAĞAÇ,39.106,27.669,39.100006,27.699997,218.0
7,MANİSA>KULA,38.548,28.649,38.5,28.600006,666.0
8,MANİSA>KÖPRÜBAŞI,38.749,28.404,38.699997,28.40001,259.0
9,MANİSA>SALİHLİ,38.482,28.139,38.5,28.100006,109.0
10,MANİSA>SARIGÖL,38.239,28.697,38.300003,28.699997,219.0
11,MANİSA>SARUHANLI,38.734,27.568,38.699997,27.600006,41.0
12,MANİSA>SELENDİ,38.744,28.867,38.699997,28.90001,444.0
13,MANİSA>SOMA,39.185,27.609,39.199997,27.600006,154.0
14,MANİSA>TURGUTLU,38.5,27.705,38.5,27.699997,92.0
15,MANİSA>YUNUSEMRE,38.608,27.418,38.600006,27.40001,90.0
16,MANİSA>ŞEHZADELER,38.613,27.43,38.600006,27.40001,72.0
17,İZMİR>GÜNEY BÖLGE>BAYINDIR,38.217,27.648,38.199997,27.600006,72.0
18,İZMİR>GÜNEY BÖLGE>BEYDAĞ,38.086,28.205,38.100006,28.199997,212.0
19,İZMİR>GÜNEY BÖLGE>KARABURUN,38.637,26.511,38.600006,26.5,91.0
20,İZMİR>GÜNEY BÖLGE>KEMALPAŞA,38.427,27.417,38.40001,27.40001,206.0
21,İZMİR>GÜNEY BÖLGE>KİRAZ,38.231,28.204,38.199997,28.199997,308.0
22,İZMİR>GÜNEY BÖLGE>MENDERES,38.254,27.134,38.300003,27.100006,116.0
23,İZMİR>GÜNEY BÖLGE>SEFERİHİSAR,38.197,26.839,38.199997,26.800003,35.0
24,İZMİR>GÜNEY BÖLGE>SELÇUK,37.949,27.37,37.9,27.40001,15.0
25,İZMİR>GÜNEY BÖLGE>TORBALI,38.161,27.358,38.199997,27.40001,40.0
26,İZMİR>GÜNEY BÖLGE>TİRE,38.089,27.735,38.100006,27.699997,121.0
27,İZMİR>GÜNEY BÖLGE>URLA,38.322,26.764,38.300003,26.800003,71.0
28,İZMİR>GÜNEY BÖLGE>ÇEŞME,38.324,26.303,38.300003,26.300003,1.0
29,İZMİR>GÜNEY BÖLGE>ÖDEMİŞ,38.228,27.972,38.199997,28.0,130.0
30,İZMİR>KUZEY BÖLGE>ALİAĞA,38.8,26.972,38.800003,27.0,15.0
31,İZMİR>KUZEY BÖLGE>BERGAMA,39.121,27.18,39.100006,27.199997,75.0
32,İZMİR>KUZEY BÖLGE>DİKİLİ,39.072,26.889,39.100006,26.90001,7.0
33,İZMİR>KUZEY BÖLGE>FOÇA,38.67,26.756,38.699997,26.800003,5.0
34,İZMİR>KUZEY BÖLGE>KINIK,39.087,27.383,39.100006,27.40001,85.0
35,İZMİR>KUZEY BÖLGE>MENEMEN,38.607,27.069,38.600006,27.100006,15.0
36,İZMİR>METROPOL>BALÇOVA,38.393,27.05,38.5,27.0,21.0
37,İZMİR>METROPOL>BAYRAKLI,38.462,27.166,38.5,27.199997,4.0
38,İZMİR>METROPOL>BORNOVA,38.466,27.221,38.5,27.199997,65.0
39,İZMİR>METROPOL>BUCA,38.387,27.174,38.40001,27.199997,101.0
40,İZMİR>METROPOL>GAZİEMİR,38.322,27.128,38.300003,27.100006,149.0
41,İZMİR>METROPOL>GÜZELBAHÇE,38.37,26.881,38.300003,26.800003,10.0
42,İZMİR>METROPOL>KARABAĞLAR,38.369,27.126,38.40001,27.199997,78.0
43,İZMİR>METROPOL>KARŞIYAKA,38.456,27.114,38.5,27.100006,14.0
44,İZMİR>METROPOL>KONAK,38.419,27.128,38.5,27.100006,2.0
45,İZMİR>METROPOL>NARLIDERE,38.394,27.001,38.5,27.0,29.0
46,İZMİR>METROPOL>ÇİĞLİ,38.493,27.053,38.5,27.100006,4.0
